item_id,gpt-5.2,claude-haiku-4.5,gemini-2.5-flash,perplexity-sonar,human_1,human_2,random_human
item_0410,7.0,5.0,9.0,8.0,6.0,5.0,5.489000000000001
item_0411,6.0,6.0,7.0,8.0,6.0,6.0,6.0
item_0412,6.0,6.0,7.0,7.0,7.0,6.0,6.502000000000001
item_0413,7.0,5.0,9.0,7.0,7.0,4.0,5.527
item_0414,7.0,7.0,9.0,8.0,6.0,7.0,6.484
item_0415,7.0,6.0,9.0,9.0,5.0,7.0,6.038
item_0416,7.0,5.0,6.0,8.0,5.0,5.0,5.0
item_0417,7.0,6.0,9.0,8.0,5.0,6.0,5.507
item_0418,6.0,7.0,7.0,8.0,5.0,5.0,5.0
item_0419,7.0,6.0,9.0,10.0,5.0,7.0,6.058
item_0420,8.0,7.0,9.0,9.0,6.0,6.0,6.0
item_0421,7.0,5.0,7.0,8.0,4.0,6.0,4.992
item_0422,7.0,6.0,9.0,7.0,6.0,6.0,6.0
item_0423,5.0,3.0,7.0,3.0,4.0,4.0,4.0
item_0424,7.0,7.0,9.0,9.0,7.0,6.0,6.502000000000001
item_0425,7.0,5.0,8.0,8.0,5.0,7.0,6.024
item_0426,5.0,6.0,8.0,7.0,5.0,6.0,5.506
item_0427,4.0,3.0,6.0,2.0,3.0,4.0,3.489
item_0428,6.0,4.0,8.0,6.0,4.0,5.0,4.5
item_0429,6.0,5.0,9.0,7.0,6.0,5.0,5.507
item_0430,6.0,5.0,8.0,5.0,5.0,6.0,5.501
item_0431,6.0,5.0,9.0,7.0,5.0,6.0,5.492
item_0432,7.0,6.0,9.0,8.0,6.0,7.0,6.478
item_0433,7.0,6.0,7.0,8.0,7.0,7.0,7.0
item_0434,4.0,3.0,5.0,3.0,4.0,5.0,4.5120000000000005
item_0435,7.0,5.0,7.0,7.0,5.0,6.0,5.481999999999999
item_0436,7.0,7.0,8.0,9.0,6.0,7.0,6.5169999999999995
item_0437,7.0,5.0,8.0,8.0,5.0,7.0,6.013999999999999
item_0438,7.0,5.0,8.0,7.0,5.0,7.0,5.944
item_0439,8.0,7.0,8.0,8.0,7.0,7.0,7.0
item_0440,5.0,4.0,7.0,7.0,5.0,5.0,5.0
item_0441,8.0,6.0,8.0,2.0,7.0,7.0,7.0
item_0442,7.0,4.0,8.0,6.0,6.0,5.0,5.5
item_0443,5.0,4.0,6.0,4.0,5.0,4.0,4.49
item_0444,8.0,6.0,8.0,8.0,7.0,8.0,7.529
item_0445,7.0,6.0,8.0,8.0,7.0,6.0,6.529999999999999
item_0446,8.0,7.0,8.0,9.0,7.0,7.0,7.0
item_0447,7.0,5.0,7.0,7.0,6.0,6.0,6.0
item_0448,5.0,4.0,8.0,6.0,5.0,5.0,5.0
item_0449,7.0,5.0,8.0,7.0,6.0,5.0,5.499
item_0450,6.0,6.0,7.0,5.0,6.0,4.0,5.0440000000000005
item_0451,6.0,5.0,8.0,7.0,6.0,4.0,5.050000000000001
item_0452,6.0,5.0,8.0,7.0,7.0,6.0,6.476
item_0453,6.0,5.0,8.0,5.0,7.0,5.0,6.018000000000001
item_0454,8.0,7.0,8.0,9.0,8.0,8.0,8.0
item_0455,7.0,7.0,9.0,6.0,7.0,6.0,6.534000000000001
item_0456,7.0,5.0,8.0,7.0,7.0,6.0,6.505
item_0457,5.0,4.0,6.0,8.0,6.0,4.0,4.964
item_0458,6.0,5.0,6.0,6.0,7.0,5.0,5.99
item_0459,7.0,6.0,9.0,9.0,5.0,5.0,5.0
item_0460,7.0,6.0,7.0,7.0,5.0,6.0,5.4879999999999995
item_0461,8.0,7.0,9.0,8.0,6.0,7.0,6.522
item_0462,7.0,6.0,7.0,5.0,5.0,6.0,5.52
item_0463,6.0,5.0,7.0,3.0,5.0,6.0,5.484
item_0464,7.0,5.0,7.0,6.0,4.0,5.0,4.513
item_0465,7.0,7.0,8.0,9.0,6.0,6.0,6.0
item_0466,7.0,6.0,8.0,8.0,5.0,5.0,5.0
item_0467,7.0,6.0,8.0,7.0,6.0,6.0,6.0
item_0468,8.0,6.0,8.0,7.0,6.0,6.0,6.0
item_0469,6.0,5.0,8.0,7.0,5.0,6.0,5.496
item_0470,7.0,5.0,7.0,9.0,6.0,6.0,6.0
item_0471,6.0,5.0,9.0,9.0,4.0,6.0,4.946
item_0472,8.0,7.0,9.0,9.0,7.0,7.0,7.0
item_0473,7.0,5.0,7.0,9.0,6.0,6.0,6.0
item_0474,6.0,5.0,8.0,5.0,6.0,6.0,6.0
item_0475,4.0,3.0,4.0,4.0,4.0,4.0,4.0
item_0476,7.0,5.0,8.0,9.0,6.0,6.0,6.0
item_0477,8.0,7.0,9.0,9.0,6.0,9.0,7.5360000000000005
item_0478,8.0,7.0,9.0,9.0,7.0,7.0,7.0
item_0479,7.0,6.0,8.0,7.0,7.0,6.0,6.493
item_0480,6.0,6.0,8.0,8.0,5.0,7.0,5.9799999999999995
item_0481,7.0,6.0,8.0,9.0,6.0,6.0,6.0
item_0482,6.0,5.0,7.0,6.0,4.0,5.0,4.519
item_0483,6.0,5.0,8.0,7.0,4.0,5.0,4.48
item_0484,7.0,6.0,9.0,9.0,6.0,6.0,6.0
item_0485,8.0,7.0,9.0,9.0,8.0,8.0,8.0
item_0486,7.0,5.0,6.0,8.0,7.0,5.0,6.024
item_0487,8.0,6.0,9.0,8.0,7.0,6.0,6.4990000000000006
item_0488,8.0,6.0,8.0,8.0,7.0,6.0,6.4990000000000006
item_0489,7.0,5.0,7.0,9.0,6.0,5.0,5.4879999999999995
item_0490,6.0,4.0,7.0,5.0,6.0,5.0,5.478999999999999
item_0491,5.0,5.0,6.0,4.0,4.0,3.0,3.492
item_0492,7.0,6.0,8.0,8.0,8.0,7.0,7.476
item_0493,6.0,5.0,9.0,9.0,6.0,6.0,6.0
item_0494,6.0,6.0,7.0,8.0,7.0,6.0,6.518000000000001
item_0495,7.0,5.0,8.0,4.0,7.0,4.0,5.497
item_0496,6.0,4.0,8.0,7.0,6.0,5.0,5.493
item_0497,7.0,6.0,9.0,8.0,6.0,7.0,6.494
item_0498,7.0,6.0,9.0,9.0,8.0,5.0,6.479
item_0499,8.0,7.0,9.0,9.0,8.0,8.0,8.0
